"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_6.1017",20.3001794147021,-1.53207437048124,0.245738931883462,-6.23456103898018,4.53046656531918e-10,1.87344363884185e-08,"sp|Q86UW6|N4BP2_HUMAN",4.72e-58,"NEDD4-binding protein 2 OS=Homo sapiens GN=N4BP2 PE=1 SV=2","tr|A0A2B4T0P0|A0A2B4T0P0_STYPI",0,"NEDD4-binding protein 2 OS=Stylophora pistillata GN=N4BP2 PE=4 SV=1","gb|PFX34348.1|",0,"uncharacterized protein LOC111327618 isoform X1 [Stylophora pistillata]","GO:0005829; GO:0005524; GO:0046404; GO:0004519",""
"evm.TU.chromosome_12.1510",24.3886578119185,-1.57690337972121,0.266259572689759,-5.92242886815788,3.17221032675973e-09,1.09357450325244e-07,"sp|Q14185|DOCK1_HUMAN",0,"Dedicator of cytokinesis protein 1 OS=Homo sapiens GN=DOCK1 PE=1 SV=2","tr|A0A2B4RXT1|A0A2B4RXT1_STYPI",0,"Dedicator of cytokinesis protein 1 OS=Stylophora pistillata GN=DOCK1 PE=4 SV=1","ref|XP_020623795.1|",0,"dedicator of cytokinesis protein 1-like [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0032045; GO:0016020; GO:0016607; GO:0005634; GO:0005096; GO:0005089; GO:0017124; GO:0006915; GO:0007596; GO:0016477; GO:0007010; GO:0038096; GO:0007229; GO:0006911; GO:0010634; GO:1900026; GO:0007165; GO:0007264; GO:0048010","GO:0005622; GO:0005096; GO:0005085; GO:0016477; GO:0007010; GO:0007264"
"evm.TU.chromosome_10.198",21.9693888666703,1.87047230989936,0.31797539993344,5.88244345408761,4.04253469516856e-09,1.3642392948293e-07,"sp|O73853|CP17A_ICTPU",1.45e-131,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Ictalurus punctatus GN=cyp17a1 PE=2 SV=1","tr|A0A2B4RUG4|A0A2B4RUG4_STYPI",0,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Stylophora pistillata GN=cyp17a1 PE=4 SV=1","ref|XP_020626306.1|",0,"steroid 17-alpha-hydroxylase/17,20 lyase-like [Orbicella faveolata]","GO:0016020; GO:0047442; GO:0020037; GO:0005506; GO:0004508; GO:0007548; GO:0006694","GO:0020037; GO:0005506; GO:0016829; GO:0004497; GO:0016705"
"evm.TU.chromosome_6.22",5.58113726467525,4.4583751635556,0.780269633330137,5.71389039520551,1.10422134530199e-08,3.3365288540034e-07,"sp|Q05941|ACHA7_RAT",7.26e-95,"Neuronal acetylcholine receptor subunit alpha-7 OS=Rattus norvegicus GN=Chrna7 PE=1 SV=2","tr|A0A2B4S6J6|A0A2B4S6J6_STYPI",0,"Neuronal acetylcholine receptor subunit alpha-7 OS=Stylophora pistillata GN=Chrna7 PE=4 SV=1","ref|XP_020618960.1|",0,"neuronal acetylcholine receptor subunit alpha-7-like [Orbicella faveolata]","GO:0005892; GO:0016324; GO:0032279; GO:0030673; GO:0030424; GO:0030054; GO:0005737; GO:0030425; GO:0043198; GO:0043197; GO:0009897; GO:0030426; GO:0016020; GO:0045121; GO:0043025; GO:0005886; GO:0044853; GO:0014069; GO:0045211; GO:0042734; GO:0042166; GO:0015464; GO:0022848; GO:0008179; GO:0001540; GO:0051117; GO:0017081; GO:0008144; GO:0005216; GO:0042803; GO:0019901; GO:0097110; GO:0015643; GO:0095500; GO:0000187; GO:0008306; GO:0042113; GO:0048149; GO:0035095; GO:0006816; GO:0006874; GO:0050890; GO:0140059; GO:0097061; GO:0042416; GO:0006897; GO:0030317; GO:0060112; GO:0034220; GO:0006811; GO:0007611; GO:0007613; GO:0050804; GO:0098815; GO:1902430; GO:0050728; GO:0032691; GO:0032715; GO:0001933; GO:0032720; GO:0019228; GO:0042698; GO:1902004; GO:0045766; GO:0008284; GO:1905920; GO:0070374; GO:2000463; GO:0001988; GO:1900273; GO:0033138; GO:0051247; GO:0001934; GO:1905906; GO:1902991; GO:0050727; GO:0042391; GO:1901214; GO:0014061; GO:0032225; GO:1905144; GO:1904645; GO:0009409; GO:0045471; GO:0032094; GO:0001666; GO:0035094; GO:0050893; GO:0007165; GO:0050808; GO:0007271; GO:0042110","GO:0016021; GO:0005230; GO:0003676; GO:0004888; GO:0015074"
"evm.TU.chromosome_4.1093",8.51461083603038,2.5468429796347,0.457039966895256,5.57247322796691,2.51148095894313e-08,6.97637650334388e-07,"sp|Q6ZQX7|LIAT1_HUMAN",2.04e-07,"Protein LIAT1 OS=Homo sapiens GN=LIAT1 PE=2 SV=2","tr|A0A2B4SQS4|A0A2B4SQS4_STYPI",1.66e-42,"Uncharacterized protein C17orf97-like OS=Stylophora pistillata GN=AWC38_SpisGene3484 PE=4 SV=1","ref|XP_020601686.1|",6.31e-75,"protein LIAT1-like [Orbicella faveolata]","GO:0016598",""
"evm.TU.chromosome_14.5917",22.2327226189111,-1.94292726555852,0.355768391929402,-5.46121383921051,4.72890021331971e-08,1.24334785310209e-06,"sp|Q28247|CO4A5_CANLF",3.94e-10,"Collagen alpha-5(IV) chain OS=Canis lupus familiaris GN=COL4A5 PE=2 SV=2","tr|B7T139|B7T139_ACRMI",1e-149,"Uncharacterized protein OS=Acropora millepora PE=2 SV=1","ref|XP_020621457.1|",0,"collagen alpha-5(IV) chain-like [Orbicella faveolata]","GO:0005604; GO:0005581; GO:0005201; GO:0007155","GO:0030246"
"evm.TU.chromosome_3.725",18.6975033584921,1.24750244589833,0.23142520198958,5.39052114969958,7.02536465213213e-08,1.75047841176746e-06,"sp|P11362|FGFR1_HUMAN",6.97e-81,"Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1 PE=1 SV=3","tr|A0A2B4RVN9|A0A2B4RVN9_STYPI",0,"Fibroblast growth factor receptor 1 OS=Stylophora pistillata GN=FGFR1 PE=4 SV=1","ref|XP_020631553.1|",0,"uncharacterized protein LOC110068516 [Orbicella faveolata]","GO:0031410; GO:0005829; GO:0005576; GO:0016021; GO:0005887; GO:0005730; GO:0005886; GO:0043235; GO:0016303; GO:0005524; GO:0017134; GO:0005007; GO:0008201; GO:0042802; GO:0046934; GO:0042803; GO:0004713; GO:0005088; GO:0090722; GO:0001525; GO:0060117; GO:0060445; GO:0048469; GO:0016477; GO:0002062; GO:0043009; GO:0030326; GO:0008543; GO:0035607; GO:0001701; GO:0042472; GO:0060484; GO:0000165; GO:0048762; GO:0030901; GO:0042474; GO:0090272; GO:0000122; GO:0001764; GO:0001759; GO:0042473; GO:0048339; GO:0018108; GO:0048015; GO:0060045; GO:0008284; GO:2000546; GO:0043406; GO:0043410; GO:0090080; GO:0002053; GO:1903465; GO:0045666; GO:0010976; GO:2000830; GO:0014068; GO:0010518; GO:0010863; GO:0051897; GO:0046777; GO:0006468; GO:0060665; GO:0045595; GO:2001239; GO:0048378; GO:0007605; GO:0001501; GO:0048705; GO:0006351; GO:0001657; GO:0021847; GO:0070640","GO:0016021; GO:0005524; GO:0005509; GO:0004714"
"evm.TU.chromosome_11.141",15.0961139511343,1.61043599034819,0.298996689640751,5.38613317854172,7.19896295698228e-08,1.78867322214668e-06,"sp|Q6PCN3|TTBK1_MOUSE",9.62e-125,"Tau-tubulin kinase 1 OS=Mus musculus GN=Ttbk1 PE=1 SV=3","tr|A0A2B4RJC1|A0A2B4RJC1_STYPI",0,"Tau-tubulin kinase 1 OS=Stylophora pistillata GN=Ttbk1 PE=4 SV=1","ref|XP_020618224.1|",0,"uncharacterized protein LOC110056121 [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0048471; GO:0045298; GO:0005524; GO:0004674; GO:0007611; GO:0010629; GO:0032091; GO:0018105; GO:0018107; GO:0018108; GO:0061890; GO:1904031; GO:2001056; GO:0010628; GO:1903980; GO:0032273; GO:0006468; GO:0008360","GO:0005524; GO:0004672"
"evm.TU.chromosome_6.160",12.4007961084409,1.59302217594094,0.296087293955052,5.38024497661412,7.43845451376507e-08,1.84039065610232e-06,"sp|Q6NRD3|SH3R1_XENLA",9.21e-93,"E3 ubiquitin-protein ligase SH3RF1 OS=Xenopus laevis GN=sh3rf1 PE=1 SV=1","tr|T2M9A6|T2M9A6_HYDVU",3.45e-104,"SH3 domain-containing RING finger protein 3 OS=Hydra vulgaris GN=SH3RF3 PE=2 SV=1","ref|XP_020605341.1|",0,"E3 ubiquitin-protein ligase SH3RF1-like [Orbicella faveolata]","GO:0005794; GO:0030027; GO:0048471; GO:0046872; GO:0016740; GO:0006915; GO:0016567; GO:0046328","GO:0046872"
"evm.TU.chromosome_14.6140",11.125270072663,-1.83200523274554,0.341159818923626,-5.36993259794073,7.87660754141007e-08,1.93251139901782e-06,"sp|Q64591|DECR_RAT",1.63e-140,"2,4-dienoyl-CoA reductase, mitochondrial OS=Rattus norvegicus GN=Decr1 PE=1 SV=2","tr|A0A2B4RXE3|A0A2B4RXE3_STYPI",0,"2,4-dienoyl-CoA reductase, mitochondrial OS=Stylophora pistillata GN=Decr1 PE=4 SV=1","ref|XP_020628670.1|",0,"2,4-dienoyl-CoA reductase, mitochondrial-like [Orbicella faveolata]","GO:0070062; GO:0005739; GO:0005634; GO:0008670; GO:0070402; GO:0006635; GO:0051289",""
